name,state,cz,tier,cuny,count,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top1,kid_median,kid_q1,kid_q2,kid_q3,kid_q4,kid_q5,kid_top1,kidq1_if_parq1,kidq2_if_parq1,kidq3_if_parq1,kidq4_if_parq1,kidq5_if_parq1,kidtop1_if_parq1
"Florida State University","FL","Tallahassee","Selective public",0,5337,100500,6.331551,10.97334,15.97464,22.80358,43.91689,2.315903,46400,10.24131,10.84448,13.43691,26.4183,39.059,2.14778,11.03598,12.17667,15.77264,26.8216,34.1931,.7772443
"Florida Technical College","FL","Orlando","Four-year for-profit",0,112,39200,30.39161,27.03516,23.79165,13.23635,5.545236,.3425511,22800,21.04175,23.0294,31.7279,15.17262,9.028329,.3052995,19.60226,27.57287,31.29402,15.70021,5.830626,.0080847
"Fontbonne University","MO","St. Louis","Selective private",0,164.5,88800,5.242375,10.81871,18.6869,32.60384,32.64816,3.261228,37300,11.33506,10.4129,21.18682,32.3626,24.70261,1.250062,13.15569,3.394671,50.71343,15.53714,17.19907,.2127099
"Foothill-Deanza Community College District","CA","San Jose","Two-year (public and private not-for-profit)",0,4000.666667,80200,12.96421,14.4189,18.46675,20.02558,34.12456,1.657355,33900,18.05902,16.31859,16.98281,20.61493,28.02463,1.297164,22.92244,20.01467,18.04359,19.34274,19.67655,.8351593
"Fordham University","NY","New York","Highly selective private",0,1394.666667,113300,7.63659,9.386274,12.76125,19.16876,51.04713,4.708563,63300,9.134988,9.06311,9.046478,15.81567,56.93976,6.735005,8.885675,10.11131,10.06076,18.84837,52.09389,4.033177
"Forsyth Technical Community College","NC","Winston-Salem","Two-year (public and private not-for-profit)",0,953.3333333,67300,14.15838,20.05469,20.82605,27.48567,17.47523,.2685228,24900,14.95095,23.44059,30.55259,21.57149,9.484388,.065605,13.6361,38.55214,30.01047,14.05557,3.745702,0
"Fort Hays State University","KS","Hays","Selective public",0,886,71100,7.255916,16.32363,29.21019,30.50426,16.70599,.385079,38500,8.482161,13.47805,22.2201,31.6961,24.12358,1.027574,12.50094,16.787,25.21268,26.77689,18.72249,0
"Fort Lewis College","CO","Farmington","Selective public",0,837,90600,7.35596,12.68011,17.75336,23.92278,38.28778,2.672263,32700,12.84482,17.33721,22.93694,24.52402,22.357,.8989973,14.75178,22.00886,27.98632,23.66359,11.58944,.5366511
"Fort Myers Institute Of Technology And Cape Coral Institute Of Technology","FL","Cape Coral","Two-year (public and private not-for-profit)",0,96,49800,23.46547,24.59555,22.68731,17.78878,11.46289,.1396883,21400,21.51854,19.98445,27.25542,19.03504,12.20654,.0471353,20.48329,21.32153,32.74091,20.20049,5.253774,.0189925
"Fort Scott Community College","KS","Joplin","Two-year (public and private not-for-profit)",0,372.3333333,56800,17.4717,22.36625,27.38174,22.49185,10.28847,.1415211,28600,15.23081,20.36763,28.23222,22.51032,13.65902,.013181,20.7356,22.52843,29.76214,20.01472,6.959111,0
"Fort Valley State University","GA","Macon","Selective public",0,381,45100,23.70738,26.91711,21.19963,18.21704,9.95883,.0139775,30900,10.17046,20.76776,27.28708,24.62862,17.14609,.2044972,10.21576,23.53303,30.15651,24.16748,11.92723,0
"Fortis College of Houston, TX","TX","Houston","Less than two-year schools of any type",0,69.5,27900,41.854,34.66579,11.64262,8.249812,3.587785,.0758529,23500,14.72121,25.56356,29.94648,19.38812,10.38064,.0009806,20.46041,23.76371,31.13084,14.94402,9.701019,.0502757
"Fortis College of Largo, FL","FL","Tampa","Four-year for-profit",0,93.5,35100,40.45752,26.68903,19.57728,7.240349,6.035824,.42323,15800,22.53417,37.27422,30.31685,8.214897,1.659866,.0809306,21.03941,41.34671,32.48209,4.074528,1.057265,.016746
