id,birth_yr,gender,race,schooling,parent_edu,afqt,income,wage
3592,1962,male,"non-black, non-hispanic",12,10,61.802,63000,24.33
3593,1963,male,"non-black, non-hispanic",12,8,71.054,62300,20.5
3595,1960,male,"non-black, non-hispanic",12,11,40.522,70000,26.92
3597,1959,female,"non-black, non-hispanic",12,14,54.584,8000,4.27
3598,1959,male,"non-black, non-hispanic",12,12,21.334,54000,23.7
3599,1961,male,"non-black, non-hispanic",12,12,52.464,3000,16
3601,1963,female,"non-black, non-hispanic",16,8,79.229,50000,83.65
3602,1957,male,"non-black, non-hispanic",16,12,62.217,104600,30.44
3603,1959,female,"non-black, non-hispanic",12,12,61.383,84000,37.25
3604,1962,male,"non-black, non-hispanic",12,10,26.294,46000,22.11
3606,1960,female,"non-black, non-hispanic",12,11,57.872,22000,12
3609,1960,female,"non-black, non-hispanic",13,12,50.181,50000,30.27
3614,1959,female,"non-black, non-hispanic",18,13,91.863,36000,28.84
3616,1963,male,"non-black, non-hispanic",12,9,91.974,27000,24.64
3617,1958,male,"non-black, non-hispanic",16,12,78.008,137000,62.5
3618,1960,female,"non-black, non-hispanic",16,12,56.642,34000,65.38
3620,1961,male,"non-black, non-hispanic",12,10,38.967,50000,29.06
3623,1962,male,"non-black, non-hispanic",16,10,92.432,57000,18.26
3624,1962,female,"non-black, non-hispanic",16,10,93.901,4500,8.25
3626,1958,female,"non-black, non-hispanic",16,14,47.68,51000,21.79
3627,1959,male,"non-black, non-hispanic",12,12,59.848,68000,40
3628,1957,male,"non-black, non-hispanic",16,14,50.492,370314,96.15
3629,1962,female,"non-black, non-hispanic",16,11,79.523,12000,9
3630,1964,female,"non-black, non-hispanic",15,9,95.098,45588,19.65
3634,1964,male,"non-black, non-hispanic",10,9,14.817,35000,19.4
3636,1964,female,"non-black, non-hispanic",18,9,57.089,55000,26.44
3637,1958,female,"non-black, non-hispanic",12,12,12.785,52000,24
3640,1964,male,"non-black, non-hispanic",12,8,1.107,23000,11.6
3643,1964,female,"non-black, non-hispanic",12,8,33.724,76000,36.53
3649,1963,female,"non-black, non-hispanic",12,9,12.016,30000,13.17
